PAIR,SIDE,HALF_LIFE,MEAN_REVERSION_RATIO,TRADE_PRICE_RATIO
1000LUNCUSDT/DOGEUSDT,long,9.27,0.79453,0.72826
ACHUSDT/LTCUSDT,long,0.7,0.00029,0.00027
ACHUSDT/SNTUSDT,long,15.63,0.83428,0.73283
ALPACAUSDT/TURBOUSDT,long,3.86,26.06547,13.64295
AMBUSDT/DUSKUSDT,long,0.77,0.0333,0.03062
ANKRUSDT/BANDUSDT,short,0.71,0.02313,0.0244
APEUSDT/XEMUSDT,short,6.44,24.49148,44.3609
ARKUSDT/GASUSDT,short,2.22,0.10639,0.13346
BANANAUSDT/TURBOUSDT,long,0.9,6340.46954,5247.14829
BATUSDT/GLMRUSDT,short,15.12,1.03739,1.07965
BNTUSDT/ETHUSDT,long,0.69,0.0002,0.00019
C98USDT/INJUSDT,long,0.74,0.00615,0.00569
C98USDT/ONEUSDT,long,0.77,9.715,9.22156
C98USDT/XVSUSDT,long,0.73,0.01727,0.01623
COMBOUSDT/SNTUSDT,long,0.9,17.90724,15.54839
CTKUSDT/LTCUSDT,long,0.72,0.00831,0.00743
CTKUSDT/METISUSDT,long,1.01,0.01578,0.01263
CTKUSDT/SOLUSDT,long,0.73,0.00381,0.00349
CVXUSDT/XEMUSDT,short,3.22,65.45186,112.53133
DARUSDT/TURBOUSDT,long,4.28,24.45226,13.86294
DARUSDT/WAVESUSDT,short,7.71,0.07867,0.14231
DEFIUSDT/HFTUSDT,short,0.69,4542.28503,4701.64609
DOGEUSDT/SKLUSDT,short,1.52,3.06444,3.33406
EIGENUSDT/GALAUSDT,long,0.76,194.05782,149.62756
EIGENUSDT/OPUSDT,long,3.89,2.36407,1.8917
ENSUSDT/IOTAUSDT,short,0.71,136.62346,144.25817
ETHUSDT/SNTUSDT,long,0.69,106618.0644,99127.51423
FXSUSDT/UNFIUSDT,long,11.92,0.74875,0.67305
GMXUSDT/LEVERUSDT,short,0.7,11422.08065,12239.3617
GTCUSDT/SNTUSDT,long,0.78,27.95491,25.38899
GUSDT/OGNUSDT,long,1.37,0.40999,0.37782
HIGHUSDT/ILVUSDT,short,0.73,0.03485,0.0369
HMSTRUSDT/WIFUSDT,long,1.49,0.00289,0.00147
HMSTRUSDT/WUSDT,long,2.67,0.02207,0.0133
ICXUSDT/SNTUSDT,long,1.13,5.92378,5.27894
INJUSDT/SSVUSDT,short,18.01,0.93695,1.01026
IOUSDT/TIAUSDT,long,3.69,0.3578,0.3095
LINAUSDT/PERPUSDT,long,0.72,0.00656,0.00621
MANAUSDT/SNTUSDT,long,0.85,12.521,11.24858
ONTUSDT/SNTUSDT,long,0.92,7.89772,7.1537
QTUMUSDT/SNTUSDT,long,0.73,104.01815,93.54839
USDCUSDT/XEMUSDT,short,5.96,32.58254,62.67544
